rank,mse_loss,C2H2_T,C2H2_logN,C2H2_log10A,HCN_T,HCN_logN,HCN_log10A,13C12CH2_T,13C12CH2_logN,13C12CH2_log10A
1,0.0007940741297725021,291.14022869616747,16.616842184215784,-0.2831621276258118,225.061350222677,17.43124628532678,0.11430641851258345,423.1397258117795,16.57350982632488,-1.1138980821354036
2,0.0007941073605583933,272.0632180571556,17.21373573038727,-0.3716158890819642,316.40490759164095,16.39714205265045,-0.3018856139759651,312.68356209620833,17.29591346438974,-0.7656975878168242
3,0.00079956746066909,213.90725197270513,17.066381411626935,0.3400176675631116,419.2393148317933,16.592144664376974,-0.8492964195849951,242.8810146637261,16.36826763022691,-0.21121618848673818
4,0.000803386709840471,259.3187858350575,16.832409720867872,-0.08486230718622909,396.3877372443676,16.130511575378478,-0.5259649273409764,322.4609887227416,17.508293982595205,-0.8270453375840846
5,0.0008047985474090526,243.28065756708384,16.905734453323138,0.0432546533985952,211.39154843986034,17.082020913991826,0.40954921084346546,745.454715192318,17.056023926474154,-1.741481427996542
6,0.0008057806382515991,356.43583768978715,16.54423387814313,-0.6656391287816731,545.3076282516122,16.442935065055735,-1.0979574307191051,310.70800954476,16.067659821519797,-0.5510918956858171
7,0.0008060073278071406,341.7141164653003,16.24387523252517,-0.43189649174812594,431.40700766816735,16.369138468056917,-0.7780567887409715,205.0903326831758,17.866001018323004,0.07156776347924329
8,0.0008072978034934153,227.5017716921866,17.19207333959639,0.0847367752118013,607.1736728772521,15.159032532013953,-0.1318160133719783,304.63547771796584,16.353186174295843,-0.5623404775015961
9,0.0008078830332165228,201.7702518031001,17.169367229565978,0.46257422546408244,670.6344566307962,15.336149669020628,-0.33332144005186315,474.09933926537633,17.682110272347927,-1.3787236938403318
10,0.00081176496800601,257.54776364192367,16.810370759107172,-0.0628650436253579,606.8777990527451,14.15386386308819,0.8698241001317656,358.7830767966807,17.000997407361865,-0.8979161296150404
11,0.0008121996973186181,263.4575679898262,16.61858819052577,-0.04696043516347381,508.86407159268856,15.016166997142136,0.09842648288238566,246.6049725189805,18.577001007273793,-0.4321212837845529
12,0.0008135135845746212,251.43455993384123,17.239350472576916,-0.2036105531886019,217.44115399196744,17.206488993018866,0.28217885867285675,968.2583163492382,17.603672333993018,-1.9999994437655824
13,0.0008136962648633499,238.3195137605071,17.244384881109,-0.06334266181738839,349.7504226863384,16.3306045262143,-0.42981824318255574,501.55962156131864,14.373090208039375,0.22261051885784205
14,0.0008148551619975982,249.06799755990505,16.789207701571286,0.043404831013897846,672.4576696753502,16.36005726736039,-1.2443780739436865,214.63065845891833,15.823360086418688,0.18731294826846792
15,0.0008162217008711389,221.93757947534323,16.872432634313505,0.2974653405512774,750.8188651874661,15.242291680537164,-0.3034982522055789,271.13391356542706,17.375571632105956,-0.48183542115104555
16,0.000816435300370422,282.7991174533963,16.741196900606155,-0.26596067259735373,561.9237119331956,16.289876639842987,-1.0180090358764997,610.0924440659583,18.50259428471327,-1.8024889387988343
17,0.0008185770169708216,260.986115783453,17.46422087866813,-0.36651642171198234,200.86235739290714,17.890826692804694,0.27070240031257586,280.6431860662997,15.804337571375072,-0.2926127107205185
18,0.0008193972526476902,216.26955466344953,17.353560934774578,0.12517734908916306,702.0471768453717,16.33437044080347,-1.3033760298173007,276.9234387204051,18.052057657390833,-0.6005715456402467
19,0.0008204712545097074,274.2773538455367,16.69163392484188,-0.16118342118912515,421.67969327419996,16.12036455515772,-0.6023869244191938,748.7214568071067,18.37214112840593,-1.987186675476224
20,0.0008205244390064874,262.00481932610273,16.987268404103816,-0.17845824782278064,427.279741410166,15.854451079852879,-0.43189641634038123,417.7413825877011,17.758463710546494,-1.2467418483477921
