rank,mse_loss,CO2_T,CO2_logN,CO2_log10A
1,0.00035603130821163203,457.9525009728968,16.717052828520536,-1.1404001435828381
2,0.00035673790121338184,279.6635849401355,18.1324607655406,-0.7263298086953672
3,0.00035690415479397577,476.5746546909213,16.502455948852003,-1.0868149303725865
4,0.00035709238561607075,411.09563345089555,16.674247291870415,-0.9441273017869919
5,0.00035736737570851154,324.34807447716594,17.171934941783547,-0.7817748432071905
6,0.0003574589303051765,285.38669161498547,17.88428987003863,-0.7044264449968435
7,0.00035791847714469,390.01170760020614,16.8658135747537,-0.9445233964303661
8,0.0003582341182672463,293.5747810639441,17.381481897085905,-0.6144426284151703
9,0.0003584327536843078,285.6450109742582,17.621677379123867,-0.6225002429578178
10,0.0003585062690928041,265.51178535446525,18.36443985439837,-0.6468175660096542
11,0.0003587030036232683,431.85625057667494,16.437765053473413,-0.9007566715516625
12,0.00035874771956800465,499.92048256099224,16.291789259124478,-0.9966395946841957
13,0.00035953521225511064,442.20639150589705,16.920786598697305,-1.183306160303052
14,0.0003596655804402421,343.0198927409947,16.95554565731436,-0.7775556343068663
15,0.00036005036611112237,328.041622415185,18.033425966504023,-1.0382591295769112
16,0.00036084708467155224,235.7644435018301,17.954459601081908,-0.30929300772085827
17,0.0003610433328608939,449.04256220906973,16.23012026399374,-0.8501042549342385
18,0.0003619442191680453,276.68129755184054,17.155536386184394,-0.4507724747567492
19,0.00036220053421902093,527.0855251699686,16.471225885674357,-1.168472603869881
20,0.00036232435106342645,524.1956210695207,16.099964546532895,-0.9286308620756003
